Category,Sub-Category,Sl.No.,Ministry/Department,Scheme,2021-2022 Actuals,2022-2023 Budget Estimates,2022-2023 Revised Estimates,2023-2024 Budget Estimates
PART B: 30% Women specific programmes,Demand No. 100,7,Ministry of Tribal Affairs,Aid to Voluntary Organizations working for the welfare of Scheduled Tribes,26.83,33,33,42
PART B: 30% Women specific programmes,Demand No. 100,8,Ministry of Tribal Affairs,Development of Particularly Vulnerable Tribal Groups (PVTGs),48,75.6,37.44,76.84
PART B: 30% Women specific programmes,Demand No. 100,9,Ministry of Tribal Affairs,National Overseas Scholarship Scheme,1.49,1.2,1.2,1.2
PART B: 30% Women specific programmes,Demand No. 100,10,Ministry of Tribal Affairs,Pradhan Mantri Adi Adarsh Gram Yojana(PMAAGY),0,0,0,445.5
PART B: 30% Women specific programmes,Demand No. 100,NA,Ministry of Tribal Affairs,Total,1737.74,2279.81,2094.14,3548.29
PART B: 30% Women specific programmes,Demand No. 101,1,Ministry of Women and Child Development,National Institute of Public Cooperation and Child Development,26.68,34.08,30.6,33.6
PART B: 30% Women specific programmes,Demand No. 101,2,Ministry of Women and Child Development,Central Adoption Resource Agency,4,6,4.55,5.64
PART B: 30% Women specific programmes,Demand No. 101,3,Ministry of Women and Child Development,National Child Rights (NCPCR),10.3,12.65,11.82,12.75
PART B: 30% Women specific programmes,Demand No. 101,4,Ministry of Women and Child Development,Saksham Anganwadi and Poshan 2.0,13418.67,11752.58,14792.04,15004.65
PART B: 30% Women specific programmes,Demand No. 101,5,Ministry of Women and Child Development,Mission Vatsalya,456.65,883.3,660,883.3
PART B: 30% Women specific programmes,Demand No. 101,6,Ministry of Women and Child Development,Mission Shakti,0,56.25,35,85
PART B: 30% Women specific programmes,Demand No. 101,NA,Ministry of Women and Child Development,Total,13916.3,12744.86,15534.01,16024.94
PART B: 30% Women specific programmes,Demand No. 102,1,Ministry of Youth Affairs and Sports,Scouting and Guiding,0.11,0.45,0.23,0.45
PART B: 30% Women specific programmes,Demand No. 102,2,Ministry of Youth Affairs and Sports,Rajiv Gandhi National Institute of Youth Development,7.5,7.2,5.7,7.35
PART B: 30% Women specific programmes,Demand No. 102,3,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,0.25,1.2,1.2,0.9
PART B: 30% Women specific programmes,Demand No. 102,4,Ministry of Youth Affairs and Sports,National Programme for Youth and Adolescent Development,4.47,6.6,7.91,6.6
PART B: 30% Women specific programmes,Demand No. 102,5,Ministry of Youth Affairs and Sports,National Youth Corps,15.44,22.5,22.5,22.5
PART B: 30% Women specific programmes,Demand No. 102,6,Ministry of Youth Affairs and Sports,National Service Scheme,51.19,85.05,64.24,97.5
PART B: 30% Women specific programmes,Demand No. 102,7,Ministry of Youth Affairs and Sports,Youth Hostel,0.6,2.25,1.17,2.07
PART B: 30% Women specific programmes,Demand No. 102,8,Ministry of Youth Affairs and Sports,Nehru Yuva Kendra Sangathan,95.44,97.5,106.93,120.45
PART B: 30% Women specific programmes,Demand No. 102,NA,Ministry of Youth Affairs and Sports,Total,175,222.75,209.88,257.82
PART B Total :,PART B Total :,PART B Total :,PART B Total :,PART B Total :,113419.49,144233.58,127922.41,135175.54
Grand Total (PART A + PART B),Grand Total (PART A + PART B),Grand Total,Grand Total (PART A + PART B),Grand Total (PART A + PART B),209527.77,171006.47,218486.76,223219.75
